company,title,link,location,experience,education,employmentType,deadline,sector,createdAt
(주)티엑스알로보틱스,2024년 하반기 상시채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49424016&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,경기 부천시,경력무관,학력무관,정규직,~ 12/22(일),"채용담당자, 채용공고관리, 인사, 인사행정, 인사기획",수정일24/12/11
(주)알레르망,2024년 하반기 수시 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49305952&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,서울 강남구,신입·경력,대졸↑,정규직,~ 12/31(화),"점포개발, 인사, 인사행정, 인사기획, 총무",수정일24/11/27
한국코러스(주),한국코러스(주) 서울사무소 회계팀 사원~과장급 채용모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49470166&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,서울 영등포구,경력2년↑,학력무관,정규직,~ 12/26(목),"인사, 경영지원, 공인회계사, 전산회계, 관리회계",등록일24/11/26
(주)아이아이컴바인드,[탬버린즈] 직영점 정규직 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49462006&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,서울전체,경력무관,학력무관,정규직,~ 12/24(화),"영업, 판매직, 잡화판매, 화장품판매, 매장관리",수정일24/11/25
아시아나에어포트(주),2024년도 김해공항 항공기 지상조업장비 정비사 채용 모집공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49542367&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,부산 강서구,신입,고졸↑,정규직·계약직,18시마감,"항공운송, 적재/하역, 자동차정비, 항공정비, 제조",수정일24/12/06
(주)맨파워코리아,++[대구/수성구] 중견기업 본사 사무보조 추가 채용모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49544515&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,대구 수성구,경력무관,학력무관,계약직·파견직,~ 01/05(일),"사무직, 사무보조, 자료입력, 아웃소싱, 파견대행",등록일24/12/06
(주)진성티이씨,㈜진성티이씨 설계 부문 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49544553&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,경기 평택시,신입·경력,대졸↑,정규직,~ 12/22(일),"기계조작원, 생산관리, 설비OP, 외관검사원, 품질검사원 외",수정일24/12/06
(주)우리기술,원자력 HW개발/SW개발/철도사업엔지니어/구매생산 분야 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523729&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,서울 마포구,신입·경력,대졸↑,정규직,~ 12/31(화),"백엔드/서버개발, 보안컨설팅, 앱개발, 정보보안, 프론트엔드",수정일24/12/11
에이엠(주),에이엠㈜ 신입/경력 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49452884&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,경기 과천시,신입·경력,대졸↑,정규직,~ 12/21(토),"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅",수정일24/11/22
(주)휴온스바이오파마,[휴온스바이오파마] 2024년 품질관리부 품질보증부 수시채용모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49432288&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,충북 제천시,경력무관,초대졸↑,정규직·계약직,오늘마감,"RA, 인증심사원, 제약/바이오, 제약/바이오, 자재관리",수정일24/11/20
